id,env,createdAt,userName,action,entityName,entityId,propertyName,oldValue,newValue,status
1167,dev,"05/09/2019 11:09:38",admin,update,"Builder\PageBundle\Entity\Content",6,title,"LA FORMATION CONTINUE","LA FORMATION CONTINUE >formation_continue",done
1168,dev,"05/09/2019 11:09:45",admin,update,"Builder\PageBundle\Entity\Content",7,title,"LA FORMATION PROFESSIONNELLE","LA FORMATION PROFESSIONNELLE >> formation_pro",done
1169,dev,"05/09/2019 11:09:08",admin,update,"Builder\PageBundle\Entity\Content",7,title,"LA FORMATION PROFESSIONNELLE >> formation_pro","LA FORMATION PROFESSIONNELLE >>formation_pro",done
1170,dev,"05/09/2019 11:09:30",admin,update,"Builder\PageBundle\Entity\Content",6,title,"LA FORMATION CONTINUE >formation_continue","LA FORMATION CONTINUE >>formation_continue",done
1171,dev,"05/09/2019 11:09:25",admin,update,"Builder\PageBundle\Entity\Content",8,title,"COURS INDIVIDUELS","COURS INDIVIDUELS >>formation_continue",done
1172,dev,"05/09/2019 11:09:44",admin,update,"Builder\PageBundle\Entity\Content",9,title,"PREPARATION CONCOURS OU EXAMENS","PREPARATION CONCOURS OU EXAMENS >>preparation",done
1173,dev,"05/09/2019 11:09:03",admin,update,"Builder\PageBundle\Entity\Content",10,title,"ACTIVITES CULTURELLES","ACTIVITES CULTURELLES >>activites_culturelles",done
1174,dev,"05/09/2019 11:09:20",admin,update,"Builder\PageBundle\Entity\Content",12,title,VOYAGE,"VOYAGE >>voyages",done
1175,dev,"05/09/2019 11:09:51",admin,update,"Builder\PageBundle\Entity\Content",15,title,ATELIERS,"ATELIERS >>ateliers",done
1176,dev,"05/09/2019 11:09:37",admin,update,"Builder\PageBundle\Entity\Content",17,title,"METHODE ET OUTILS","METHODE ET OUTILS >>pedagogie",done
1177,dev,"05/09/2019 11:09:37",admin,update,"Builder\PageBundle\Entity\Content",17,content,"<p style=""text-align:center""><em>Le stagiaire est acteur de son apprentissage et va s&rsquo;approprier la langue &agrave; travers :</em></p>

<p style=""margin-left:40px;"">L&rsquo;immersion</p>

<p style=""margin-left:40px;"">L&rsquo;&eacute;coute</p>

<p style=""margin-left:40px;"">La participation</p>

<p style=""margin-left:40px;"">Des situations interactives</p>

<p style=""margin-left:40px;"">La libert&eacute; de prises de paroles afin de favoriser l&rsquo;&eacute;change.</p>

<p style=""margin-left:40px;"">D&rsquo;un accompagnement personnalis&eacute;</p>","<p style=""text-align:center""><em>Le stagiaire est acteur de son apprentissage et va s&rsquo;approprier la langue &agrave; travers :</em></p>

<p style=""margin-left:40px"">L&rsquo;immersion</p>

<p style=""margin-left:40px"">L&rsquo;&eacute;coute</p>

<p style=""margin-left:40px"">La participation</p>

<p style=""margin-left:40px"">Des situations interactives</p>

<p style=""margin-left:40px"">La libert&eacute; de prises de paroles afin de favoriser l&rsquo;&eacute;change.</p>

<p style=""margin-left:40px"">D&rsquo;un accompagnement personnalis&eacute;</p>",done
1178,dev,"05/09/2019 11:09:08",admin,update,"Builder\PageBundle\Entity\Content",18,title,PROFESSEURS,"PROFESSEURS >>les_professeurs",done
1179,dev,"05/09/2019 11:09:36",admin,update,"Builder\PageBundle\Entity\Content",20,title,PLANNING,"PLANNING >>planning",done
1180,dev,"05/09/2019 11:09:52",admin,update,"Builder\PageBundle\Entity\Content",30,title,CONTACT,"CONTACT >>contact",done
1181,dev,"06/09/2019 08:09:30",admin,update,"Builder\PageBundle\Entity\Content",32,title,"C> Articles","C> News",done
1182,dev,"06/09/2019 08:09:30",admin,update,"Builder\PageBundle\Entity\Content",32,content,SiteBundle:Article:list,<p>SiteBundle:News:list</p>,done
